budget;target_energy;irradiation_min;price_coeff;transport_cost;status;minimum_energy;maximum_affordable_energy;recommended_energy;installation_cost;selected_panel;selected_battery;selected_inverter;scenario
27192705;6.2587;3.6955;1.066;126291;"recommended_target";1.03;16.45;7.2;13737365;"P1";"B1";"I1";"Catalogue standard"
13373206;2.2133;3.7149;1.0048;227134;"recommended_target";1.81;12.64;2.71;8414919;"P2";"B1";"I1";"Catalogue standard"
7730233;1.7022;4.443;1.2796;49014;"no_solution_budget";1.18;0;"";"";"";"";"";"Catalogue standard"
21126408;7.8369;3.7362;1.1926;63607;"recommended_target";1.47;10.3;8.83;17932474;"P1";"B2";"I1";"Catalogue standard"
12797592;3.9628;5.114;1.0826;206272;"no_solution_budget";1.58;0;"";"";"";"";"";"Catalogue standard"
16170490;1.3057;4.1385;0.8754;25036;"recommended_target";1.44;18.76;1.44;6829111;"P1";"B1";"I1";"Catalogue standard"
15745714;0.9969;3.6001;0.9341;97691;"recommended_target";1.23;8.64;1.23;9536340;"P1";"B1";"I1";"Catalogue standard"
1128468;7.6816;3.1844;1.3466;172703;"no_solution_budget";1.6;0;"";"";"";"";"";"Catalogue standard"
16834373;2.4101;2.2017;1.0185;116770;"recommended_target";0.95;5.72;2.86;12521424;"P1";"B1";"I1";"Catalogue standard"
13365831;7.5161;4.0074;1.1228;70659;"no_solution_budget";1.06;0;"";"";"";"";"";"Catalogue standard"
7938929;6.7176;2.3137;1.2815;158029;"no_solution_budget";0.76;0;"";"";"";"";"";"Catalogue standard"
9122245;0.935;4.1366;1.273;64372;"no_solution_budget";1.27;0;"";"";"";"";"";"Catalogue standard"
28399376;4.4897;3.1074;1.1237;230790;"recommended_target";1.2;10.84;4.81;19599153;"P1";"B2";"I1";"Catalogue standard"
20232014;1.0013;4.8819;1.2851;90270;"recommended_target";1.45;11.6;1.45;13539516;"P1";"B1";"I1";"Catalogue standard"
27056216;5.3616;5.0815;0.9659;77902;"recommended_budget_limited";2.39;3.59;3.59;26981259;"P2";"B1";"I1";"Catalogue standard"
6424633;1.1405;4.7625;0.8871;177475;"recommended_target";2.09;3.14;2.09;6012942;"P1";"B1";"I1";"Catalogue standard"
18124195;5.9009;4.732;1.2327;96805;"recommended_target";2.36;14.14;7.07;13608720;"P1";"B1";"I1";"Catalogue standard"
17377432;3.8604;4.2286;1.2439;155797;"recommended_target";2.17;8.68;4.34;15289202;"P1";"B1";"I1";"Catalogue standard"
26012877;5.7263;4.5949;1.3151;51986;"recommended_budget_limited";1.7;1.7;1.7;25449833;"P1";"B2";"I1";"Catalogue standard"
22318288;6.5585;5.3138;0.9157;9096;"recommended_target";2.14;14.95;8.54;18650018;"P1";"B2";"I1";"Catalogue standard"
9325166;1.8445;4.9436;1.1609;42714;"recommended_target";1.79;3.58;2.69;7830611;"P2";"B1";"I1";"Catalogue standard"
14610157;0.4847;3.7755;1.1889;138580;"recommended_target";1.93;11.55;1.93;6619172;"P1";"B1";"I1";"Catalogue standard"
4363456;7.0957;4.0744;0.9753;213636;"no_solution_budget";1.47;0;"";"";"";"";"";"Catalogue standard"
7453303;1.1521;3.7177;0.8971;229548;"no_solution_budget";1.1;0;"";"";"";"";"";"Catalogue standard"
19360849;3.9231;3.9956;0.9873;158954;"recommended_target";1.3;16.91;5.2;11024601;"P1";"B1";"I1";"Catalogue standard"
11177992;5.5272;2.2572;0.9279;25673;"no_solution_budget";1.14;0;"";"";"";"";"";"Catalogue standard"
20644080;5.0649;3.2327;1.0145;139106;"recommended_target";0.9;17.99;5.4;10790967;"P1";"B1";"I1";"Catalogue standard"
1632667;5.4112;4.2867;1.2786;60321;"no_solution_budget";2.2;0;"";"";"";"";"";"Catalogue standard"
14838146;0.5291;4.9977;1.0419;242788;"recommended_target";1.98;7.9;1.98;10540481;"P1";"B1";"I1";"Catalogue standard"
1462628;6.9115;3.8009;1.0796;102596;"no_solution_budget";1.63;0;"";"";"";"";"";"Catalogue standard"
10352508;7.9976;4.5164;0.875;2416;"no_solution_budget";1.51;0;"";"";"";"";"";"Catalogue standard"
14684641;2.2759;3.994;0.964;200121;"recommended_target";1.12;6.74;3.37;11525642;"P1";"B2";"I1";"Catalogue standard"
2557673;5.1841;4.891;1.0449;98306;"no_solution_budget";2.34;0;"";"";"";"";"";"Catalogue standard"
8456014;1.4854;3.6037;1.3132;68950;"no_solution_budget";1.79;0;"";"";"";"";"";"Catalogue standard"
